CustomerID,ProductID,Quantity,Price,TransactionDate,PaymentMethod,StoreLocation,ProductCategory,DiscountApplied(%),TotalAmount,StreetAddr,City,State,ZIP,RegionType,Date,Month,DayOfWeek,Hour,Quarter,Year
252922,A,4,17.34917877,2023-08-26 13:34:00,Cash,"Unit 1535 Box 5709, DPO AP 57706",Clothing,3.582091919,66.91086094,Unit 1535 Box 5709,Unit 1535 Box 5709,AP,57706,Military/Abroad,2023-08-26,August,Saturday,13,2023Q3,2023
172943,A,1,26.19405865,2023-09-09 00:45:00,Credit Card,"Unit 9800 Box 8766, DPO AE 93292",Electronics,17.69561007,21.55886017,Unit 9800 Box 8766,Unit 9800 Box 8766,AE,93292,Military/Abroad,2023-09-09,September,Saturday,0,2023Q3,2023
491768,B,5,71.47775954,2023-05-14 21:29:00,Cash,"PSC 9458, Box 9421, APO AA 84039",Home Decor,6.461854636,334.2948531,PSC 9458,Box 9421,AA,84039,Military/Abroad,2023-05-14,May,Sunday,21,2023Q2,2023
736766,D,9,34.9396491,2023-12-16 18:55:00,Debit Card,"USNS Jackson, FPO AA 77311",Electronics,10.66535065,280.918917,USNS Jackson,USNS Jackson,AA,77311,Military/Abroad,2023-12-16,December,Saturday,18,2023Q4,2023
276714,A,2,21.22533898,2024-03-04 05:49:00,Cash,"Unit 4152 Box 6862, DPO AA 32838",Clothing,0.305080616,42.32116916,Unit 4152 Box 6862,Unit 4152 Box 6862,AA,32838,Military/Abroad,2024-03-04,March,Monday,5,2024Q1,2024
819538,C,1,20.80286863,2023-12-05 09:41:00,Debit Card,"PSC 5089, Box 2406, APO AE 06601",Books,7.163218305,19.31271373,PSC 5089,Box 2406,AE,06601,Military/Abroad,2023-12-05,December,Tuesday,9,2023Q4,2023
377265,B,5,50.51704631,2023-07-27 17:48:00,PayPal,"Unit 9796 Box 6648, DPO AA 42931",Books,17.44533972,208.5208798,Unit 9796 Box 6648,Unit 9796 Box 6648,AA,42931,Military/Abroad,2023-07-27,July,Thursday,17,2023Q3,2023
339482,B,3,20.2987796,2023-12-06 20:55:00,PayPal,"PSC 5669, Box 2093, APO AE 56470",Books,11.0081822,54.19275888,PSC 5669,Box 2093,AE,56470,Military/Abroad,2023-12-06,December,Wednesday,20,2023Q4,2023
724160,D,8,12.91174087,2023-11-19 02:57:00,Cash,"Unit 3436 Box 2527, DPO AP 61328",Books,8.921395676,94.07866701,Unit 3436 Box 2527,Unit 3436 Box 2527,AP,61328,Military/Abroad,2023-11-19,November,Sunday,2,2023Q4,2023
432478,B,8,59.0403695,2023-08-22 04:17:00,Credit Card,"PSC 6618, Box 0807, APO AA 20014",Electronics,6.977066065,439.3686713,PSC 6618,Box 0807,AA,20014,Military/Abroad,2023-08-22,August,Tuesday,4,2023Q3,2023
81717,A,7,12.55054631,2023-05-14 11:27:00,Debit Card,"USCGC Dodson, FPO AE 93773",Clothing,2.28790436,85.8438127,USCGC Dodson,USCGC Dodson,AE,93773,Military/Abroad,2023-05-14,May,Sunday,11,2023Q2,2023
730152,B,6,73.64447357,2024-01-02 18:20:00,Debit Card,"Unit 5562 Box 7161, DPO AA 37929",Electronics,8.359967027,404.9269192,Unit 5562 Box 7161,Unit 5562 Box 7161,AA,37929,Military/Abroad,2024-01-02,January,Tuesday,18,2024Q1,2024
697666,A,6,81.71533694,2023-09-22 06:37:00,Credit Card,"PSC 9020, Box 8828, APO AA 80044",Books,14.52544089,419.0749438,PSC 9020,Box 8828,AA,80044,Military/Abroad,2023-09-22,September,Friday,6,2023Q3,2023
749246,A,5,70.10162803,2023-11-13 06:39:00,Cash,"USNS Baldwin, FPO AP 26309",Books,7.649603176,323.6956583,USNS Baldwin,USNS Baldwin,AP,26309,Military/Abroad,2023-11-13,November,Monday,6,2023Q4,2023
72046,B,6,82.18971796,2023-08-01 09:51:00,Debit Card,"PSC 1189, Box 8298, APO AA 57654",Home Decor,16.92529221,409.6732082,PSC 1189,Box 8298,AA,57654,Military/Abroad,2023-08-01,August,Tuesday,9,2023Q3,2023
987875,D,6,57.13193947,2023-11-16 17:33:00,PayPal,"Unit 2920 Box 6926, DPO AA 01968",Home Decor,6.002344008,322.2161036,Unit 2920 Box 6926,Unit 2920 Box 6926,AA,01968,Military/Abroad,2023-11-16,November,Thursday,17,2023Q4,2023
306808,B,2,60.71514794,2023-10-07 04:00:00,Debit Card,"PSC 5356, Box 6091, APO AP 26820",Home Decor,14.87279888,103.3702122,PSC 5356,Box 6091,AP,26820,Military/Abroad,2023-10-07,October,Saturday,4,2023Q4,2023
179348,A,5,35.54936471,2024-03-21 22:15:00,Debit Card,"PSC 5006, Box 1604, APO AE 75521",Electronics,9.49005323,160.8785554,PSC 5006,Box 1604,AE,75521,Military/Abroad,2024-03-21,March,Thursday,22,2024Q1,2024
280919,B,7,57.81725164,2023-08-24 13:59:00,Credit Card,"USCGC Park, FPO AA 21236",Clothing,16.87796865,336.4121182,USCGC Park,USCGC Park,AA,21236,Military/Abroad,2023-08-24,August,Thursday,13,2023Q3,2023
513489,B,2,67.58133686,2023-11-04 22:42:00,PayPal,"USS Ramirez, FPO AE 06933",Clothing,9.239428763,122.6744148,USS Ramirez,USS Ramirez,AE,06933,Military/Abroad,2023-11-04,November,Saturday,22,2023Q4,2023
417217,A,3,30.95832318,2023-09-04 21:45:00,Credit Card,"Unit 5782 Box 1590, DPO AE 99551",Books,6.79734177,86.56194043,Unit 5782 Box 1590,Unit 5782 Box 1590,AE,99551,Military/Abroad,2023-09-04,September,Monday,21,2023Q3,2023
516337,B,9,43.60966726,2023-07-03 16:00:00,PayPal,"USNS Wilcox, FPO AP 04900",Clothing,0.419468048,390.8406478,USNS Wilcox,USNS Wilcox,AP,04900,Military/Abroad,2023-07-03,July,Monday,16,2023Q3,2023
867803,A,5,76.81925433,2023-11-14 06:17:00,PayPal,"USCGC Martinez, FPO AP 84056",Books,11.20423015,341.0612414,USCGC Martinez,USCGC Martinez,AP,84056,Military/Abroad,2023-11-14,November,Tuesday,6,2023Q4,2023
888297,C,5,91.78488433,2024-01-27 07:33:00,Debit Card,"PSC 1027, Box 5599, APO AA 73712",Home Decor,18.83586612,372.482032,PSC 1027,Box 5599,AA,73712,Military/Abroad,2024-01-27,January,Saturday,7,2024Q1,2024
466103,C,5,28.33269011,2023-08-08 00:31:00,Debit Card,"PSC 8435, Box 1884, APO AE 57197",Electronics,14.7703147,120.7393131,PSC 8435,Box 1884,AE,57197,Military/Abroad,2023-08-08,August,Tuesday,0,2023Q3,2023
76217,D,4,64.66987698,2024-03-31 16:24:00,Cash,"Unit 2057 Box 7103, DPO AA 70374",Books,19.28813761,208.7850485,Unit 2057 Box 7103,Unit 2057 Box 7103,AA,70374,Military/Abroad,2024-03-31,March,Sunday,16,2024Q1,2024
550821,B,5,62.88591891,2024-03-07 15:32:00,Debit Card,"Unit 1847 Box 4517, DPO AA 04018",Clothing,16.21930004,263.4313152,Unit 1847 Box 4517,Unit 1847 Box 4517,AA,04018,Military/Abroad,2024-03-07,March,Thursday,15,2024Q1,2024
513041,A,1,83.66274316,2024-04-23 13:20:00,Credit Card,"USS Morris, FPO AA 21300",Electronics,13.65082671,72.24208707,USS Morris,USS Morris,AA,21300,Military/Abroad,2024-04-23,April,Tuesday,13,2024Q2,2024
800058,D,1,79.19549824,2023-12-18 19:22:00,PayPal,"USNV Ortega, FPO AP 73093",Electronics,17.54372324,65.30165921,USNV Ortega,USNV Ortega,AP,73093,Military/Abroad,2023-12-18,December,Monday,19,2023Q4,2023
845595,B,2,29.31917531,2023-10-17 22:38:00,Cash,"USS Smith, FPO AA 44654",Electronics,5.712763055,55.28848058,USS Smith,USS Smith,AA,44654,Military/Abroad,2023-10-17,October,Tuesday,22,2023Q4,2023
117582,A,3,95.33659144,2023-05-19 16:46:00,PayPal,"USNS Taylor, FPO AE 75782",Clothing,10.84129162,255.0026206,USNS Taylor,USNS Taylor,AE,75782,Military/Abroad,2023-05-19,May,Friday,16,2023Q2,2023
153236,B,8,53.26243737,2023-10-23 12:42:00,PayPal,"Unit 4183 Box 9437, DPO AE 09174",Home Decor,8.842581784,388.4213023,Unit 4183 Box 9437,Unit 4183 Box 9437,AE,09174,Military/Abroad,2023-10-23,October,Monday,12,2023Q4,2023
551421,D,1,78.92645848,2023-11-23 10:39:00,Cash,"Unit 3006 Box 5680, DPO AA 05719",Electronics,4.496400362,75.37760892,Unit 3006 Box 5680,Unit 3006 Box 5680,AA,05719,Military/Abroad,2023-11-23,November,Thursday,10,2023Q4,2023
240189,C,9,90.61015292,2024-04-03 20:19:00,Debit Card,"Unit 2580 Box 8266, DPO AE 81554",Home Decor,8.934478019,742.6314785,Unit 2580 Box 8266,Unit 2580 Box 8266,AE,81554,Military/Abroad,2024-04-03,April,Wednesday,20,2024Q2,2024
533585,C,9,97.48418681,2024-04-08 15:56:00,PayPal,"USNV Watkins, FPO AP 77333",Electronics,19.42244911,706.9533322,USNV Watkins,USNV Watkins,AP,77333,Military/Abroad,2024-04-08,April,Monday,15,2024Q2,2024
286748,A,3,58.8104181,2024-02-02 00:20:00,Cash,"PSC 9766, Box 1150, APO AE 50063",Home Decor,4.651355715,168.2248091,PSC 9766,Box 1150,AE,50063,Military/Abroad,2024-02-02,February,Friday,0,2024Q1,2024
690537,A,3,77.78728795,2023-06-20 15:41:00,Credit Card,"USNV Martin, FPO AE 89444",Home Decor,8.424208856,213.7029731,USNV Martin,USNV Martin,AE,89444,Military/Abroad,2023-06-20,June,Tuesday,15,2023Q2,2023
420832,B,4,45.00214296,2024-04-19 15:11:00,Cash,"Unit 8885 Box 2181, DPO AA 98761",Clothing,2.188974939,176.0682293,Unit 8885 Box 2181,Unit 8885 Box 2181,AA,98761,Military/Abroad,2024-04-19,April,Friday,15,2024Q2,2024
779845,D,7,98.11782216,2024-02-14 16:00:00,PayPal,"Unit 1552 Box 3800, DPO AE 55171",Clothing,6.521791861,642.0314742,Unit 1552 Box 3800,Unit 1552 Box 3800,AE,55171,Military/Abroad,2024-02-14,February,Wednesday,16,2024Q1,2024
404123,C,1,98.95385512,2023-08-27 16:47:00,Cash,"PSC 3995, Box 4386, APO AE 07299",Electronics,16.92772201,82.20322161,PSC 3995,Box 4386,AE,07299,Military/Abroad,2023-08-27,August,Sunday,16,2023Q3,2023
985239,B,5,68.89298073,2024-01-24 05:46:00,Cash,"Unit 9881 Box 6413, DPO AE 93127",Home Decor,16.68812202,286.9801802,Unit 9881 Box 6413,Unit 9881 Box 6413,AE,93127,Military/Abroad,2024-01-24,January,Wednesday,5,2024Q1,2024
780890,A,3,17.8788447,2023-07-03 18:47:00,PayPal,"Unit 8709 Box 7635, DPO AP 31195",Clothing,2.511410196,52.2895007,Unit 8709 Box 7635,Unit 8709 Box 7635,AP,31195,Military/Abroad,2023-07-03,July,Monday,18,2023Q3,2023
587065,B,3,53.92137564,2024-02-05 09:32:00,Cash,"Unit 7826 Box 3100, DPO AA 61502",Clothing,15.63102544,136.4787351,Unit 7826 Box 3100,Unit 7826 Box 3100,AA,61502,Military/Abroad,2024-02-05,February,Monday,9,2024Q1,2024
100167,A,3,16.07207618,2024-02-05 03:51:00,Credit Card,"USS Lara, FPO AE 50163",Books,14.15197578,41.39267956,USS Lara,USS Lara,AE,50163,Military/Abroad,2024-02-05,February,Monday,3,2024Q1,2024
870840,D,6,43.52489633,2024-02-11 11:30:00,Credit Card,"USNV Brown, FPO AP 77023",Electronics,7.942392991,240.4078681,USNV Brown,USNV Brown,AP,77023,Military/Abroad,2024-02-11,February,Sunday,11,2024Q1,2024
972295,A,3,73.2385946,2023-10-09 23:40:00,PayPal,"PSC 7802, Box 1270, APO AP 66490",Clothing,12.79441911,191.6044256,PSC 7802,Box 1270,AP,66490,Military/Abroad,2023-10-09,October,Monday,23,2023Q4,2023
833575,A,9,33.32297948,2024-01-25 08:44:00,Cash,"Unit 8024 Box 7322, DPO AA 70978",Home Decor,2.006074896,293.89046,Unit 8024 Box 7322,Unit 8024 Box 7322,AA,70978,Military/Abroad,2024-01-25,January,Thursday,8,2024Q1,2024
442300,C,5,86.05215443,2023-07-09 12:17:00,Credit Card,"PSC 8046, Box 1243, APO AE 63601",Electronics,0.056377516,430.0182018,PSC 8046,Box 1243,AE,63601,Military/Abroad,2023-07-09,July,Sunday,12,2023Q3,2023
451895,A,5,46.49734924,2024-02-24 04:16:00,Credit Card,"PSC 7531, Box 9623, APO AA 60350",Home Decor,14.1649127,199.5552016,PSC 7531,Box 9623,AA,60350,Military/Abroad,2024-02-24,February,Saturday,4,2024Q1,2024
979655,A,4,78.54772835,2023-05-09 16:35:00,Debit Card,"Unit 7047 Box 2209, DPO AA 75603",Books,12.33938537,275.4216858,Unit 7047 Box 2209,Unit 7047 Box 2209,AA,75603,Military/Abroad,2023-05-09,May,Tuesday,16,2023Q2,2023
893534,C,8,66.69485417,2023-10-01 16:05:00,PayPal,"PSC 9402, Box 3968, APO AE 35092",Electronics,9.754949354,481.5104394,PSC 9402,Box 3968,AE,35092,Military/Abroad,2023-10-01,October,Sunday,16,2023Q4,2023
178060,C,1,92.69169105,2024-01-13 15:28:00,Credit Card,"USS Finley, FPO AA 23577",Books,0.457126586,92.26797269,USS Finley,USS Finley,AA,23577,Military/Abroad,2024-01-13,January,Saturday,15,2024Q1,2024
446411,D,9,69.02930846,2023-08-23 20:10:00,Debit Card,"PSC 2693, Box 6105, APO AE 03299",Electronics,13.18747502,539.3347709,PSC 2693,Box 6105,AE,03299,Military/Abroad,2023-08-23,August,Wednesday,20,2023Q3,2023
140319,B,1,48.65906146,2023-09-24 03:48:00,Cash,"USNS Morales, FPO AP 85952",Books,6.056171813,45.71218509,USNS Morales,USNS Morales,AP,85952,Military/Abroad,2023-09-24,September,Sunday,3,2023Q3,2023
875109,D,3,81.69977668,2023-10-24 22:35:00,Cash,"USNV Stewart, FPO AA 11126",Books,12.52268024,214.4063247,USNV Stewart,USNV Stewart,AA,11126,Military/Abroad,2023-10-24,October,Tuesday,22,2023Q4,2023
730319,B,4,10.19907618,2024-03-01 06:18:00,Cash,"USS Coleman, FPO AE 27848",Clothing,19.50896668,32.83736722,USS Coleman,USS Coleman,AE,27848,Military/Abroad,2024-03-01,March,Friday,6,2024Q1,2024
966798,D,1,94.12652705,2023-08-26 14:05:00,Debit Card,"Unit 6819 Box 6818, DPO AE 07658",Electronics,9.41936891,85.26040222,Unit 6819 Box 6818,Unit 6819 Box 6818,AE,07658,Military/Abroad,2023-08-26,August,Saturday,14,2023Q3,2023
222814,B,3,11.55861907,2023-12-22 20:35:00,PayPal,"USCGC Rodriguez, FPO AP 09297",Home Decor,13.26664825,30.07553322,USCGC Rodriguez,USCGC Rodriguez,AP,09297,Military/Abroad,2023-12-22,December,Friday,20,2023Q4,2023
400475,C,6,83.14419339,2024-01-03 09:03:00,Debit Card,"Unit 8064 Box 4919, DPO AE 80099",Home Decor,18.6208311,405.9723214,Unit 8064 Box 4919,Unit 8064 Box 4919,AE,80099,Military/Abroad,2024-01-03,January,Wednesday,9,2024Q1,2024
942672,A,8,10.19964956,2023-07-11 01:52:00,PayPal,"PSC 8218, Box 7591, APO AA 09791",Home Decor,10.94408364,72.66713107,PSC 8218,Box 7591,AA,09791,Military/Abroad,2023-07-11,July,Tuesday,1,2023Q3,2023
166320,B,3,27.25818146,2023-07-04 03:03:00,Debit Card,"USCGC Mathis, FPO AA 69172",Electronics,4.744216602,77.89498288,USCGC Mathis,USCGC Mathis,AA,69172,Military/Abroad,2023-07-04,July,Tuesday,3,2023Q3,2023
257162,D,7,28.72100907,2024-03-25 01:04:00,Cash,"Unit 5294 Box 7095, DPO AP 37421",Books,7.209504392,186.5525666,Unit 5294 Box 7095,Unit 5294 Box 7095,AP,37421,Military/Abroad,2024-03-25,March,Monday,1,2024Q1,2024
531961,D,3,62.32098136,2024-04-24 10:54:00,PayPal,"Unit 5507 Box 5637, DPO AP 24261",Books,0.058458377,186.8536486,Unit 5507 Box 5637,Unit 5507 Box 5637,AP,24261,Military/Abroad,2024-04-24,April,Wednesday,10,2024Q2,2024
684014,D,6,93.08450869,2023-09-10 14:49:00,Cash,"USNS Lopez, FPO AE 60553",Home Decor,17.01321221,463.4870622,USNS Lopez,USNS Lopez,AE,60553,Military/Abroad,2023-09-10,September,Sunday,14,2023Q3,2023
278178,C,9,36.88844631,2023-12-13 05:46:00,Credit Card,"PSC 9492, Box 0172, APO AE 40880",Electronics,18.60454755,270.22966,PSC 9492,Box 0172,AE,40880,Military/Abroad,2023-12-13,December,Wednesday,5,2023Q4,2023
61913,B,8,94.86215939,2023-07-18 06:47:00,Cash,"PSC 3415, Box 0098, APO AA 21594",Home Decor,13.20710226,658.6689359,PSC 3415,Box 0098,AA,21594,Military/Abroad,2023-07-18,July,Tuesday,6,2023Q3,2023
773801,B,6,57.85255423,2023-05-07 05:17:00,Cash,"Unit 9527 Box 3195, DPO AA 03981",Electronics,9.130146169,315.4231888,Unit 9527 Box 3195,Unit 9527 Box 3195,AA,03981,Military/Abroad,2023-05-07,May,Sunday,5,2023Q2,2023
258661,B,4,55.48719751,2023-12-11 21:29:00,PayPal,"USNS Allen, FPO AP 91901",Clothing,12.68443464,193.7958408,USNS Allen,USNS Allen,AP,91901,Military/Abroad,2023-12-11,December,Monday,21,2023Q4,2023
570060,C,7,50.31628193,2023-10-26 12:56:00,Debit Card,"Unit 1495 Box 2200, DPO AP 79642",Books,16.72645074,293.3010768,Unit 1495 Box 2200,Unit 1495 Box 2200,AP,79642,Military/Abroad,2023-10-26,October,Thursday,12,2023Q4,2023
963063,D,6,80.61455978,2023-09-24 04:06:00,Cash,"Unit 0171 Box 5201, DPO AP 44908",Books,15.66358762,407.9245654,Unit 0171 Box 5201,Unit 0171 Box 5201,AP,44908,Military/Abroad,2023-09-24,September,Sunday,4,2023Q3,2023
665926,C,2,48.58501494,2024-03-06 19:30:00,PayPal,"PSC 7918, Box 3759, APO AP 45466",Home Decor,0.491005105,96.69292007,PSC 7918,Box 3759,AP,45466,Military/Abroad,2024-03-06,March,Wednesday,19,2024Q1,2024
432182,A,8,51.13024782,2023-12-31 02:07:00,PayPal,"USCGC Delgado, FPO AE 53591",Clothing,18.52319149,333.2743528,USCGC Delgado,USCGC Delgado,AE,53591,Military/Abroad,2023-12-31,December,Sunday,2,2023Q4,2023
425965,C,3,60.61344035,2023-12-16 14:09:00,Debit Card,"PSC 1713, Box 9798, APO AA 33569",Electronics,15.9416663,152.8519439,PSC 1713,Box 9798,AA,33569,Military/Abroad,2023-12-16,December,Saturday,14,2023Q4,2023
893096,B,6,23.12308645,2023-12-30 04:43:00,Cash,"PSC 7182, Box 9969, APO AE 60683",Clothing,14.6162046,118.4602129,PSC 7182,Box 9969,AE,60683,Military/Abroad,2023-12-30,December,Saturday,4,2023Q4,2023
293578,A,1,96.91556917,2023-10-07 12:11:00,PayPal,"Unit 8336 Box 5882, DPO AP 26063",Books,14.42531216,82.93519579,Unit 8336 Box 5882,Unit 8336 Box 5882,AP,26063,Military/Abroad,2023-10-07,October,Saturday,12,2023Q4,2023
95791,C,8,35.66302759,2024-03-16 21:28:00,Debit Card,"Unit 0060 Box 1202, DPO AE 16164",Electronics,0.395949762,284.1745593,Unit 0060 Box 1202,Unit 0060 Box 1202,AE,16164,Military/Abroad,2024-03-16,March,Saturday,21,2024Q1,2024
377339,D,1,11.64891967,2023-12-06 13:47:00,PayPal,"PSC 9532, Box 8879, APO AA 91818",Home Decor,4.100594191,11.17124474,PSC 9532,Box 8879,AA,91818,Military/Abroad,2023-12-06,December,Wednesday,13,2023Q4,2023
906016,D,7,71.91714762,2023-09-06 23:41:00,Cash,"PSC 3718, Box 7982, APO AE 09256",Home Decor,13.00377387,437.9564306,PSC 3718,Box 7982,AE,09256,Military/Abroad,2023-09-06,September,Wednesday,23,2023Q3,2023
870645,C,2,92.84408769,2024-04-21 22:36:00,Credit Card,"USS Mosley, FPO AE 52713",Electronics,16.73305017,154.6168798,USS Mosley,USS Mosley,AE,52713,Military/Abroad,2024-04-21,April,Sunday,22,2024Q2,2024
118393,A,1,98.01837058,2023-05-18 17:55:00,PayPal,"PSC 6337, Box 7890, APO AP 39062",Books,0.31524761,97.70937001,PSC 6337,Box 7890,AP,39062,Military/Abroad,2023-05-18,May,Thursday,17,2023Q2,2023
829185,C,4,15.95892159,2024-03-16 15:43:00,Debit Card,"USCGC Stafford, FPO AA 93831",Electronics,8.259981635,58.56287039,USCGC Stafford,USCGC Stafford,AA,93831,Military/Abroad,2024-03-16,March,Saturday,15,2024Q1,2024
516082,C,4,75.85158376,2023-08-09 20:19:00,Credit Card,"PSC 9989, Box 7575, APO AE 85107",Books,18.10589293,248.4719089,PSC 9989,Box 7575,AE,85107,Military/Abroad,2023-08-09,August,Wednesday,20,2023Q3,2023
609054,C,2,13.503328,2023-08-14 05:52:00,PayPal,"USS Joseph, FPO AE 17608",Electronics,10.53549885,24.16137007,USS Joseph,USS Joseph,AE,17608,Military/Abroad,2023-08-14,August,Monday,5,2023Q3,2023
947719,A,3,59.05644705,2023-12-20 22:55:00,Debit Card,"Unit 9194 Box 8271, DPO AA 79822",Home Decor,11.16677009,157.3852482,Unit 9194 Box 8271,Unit 9194 Box 8271,AA,79822,Military/Abroad,2023-12-20,December,Wednesday,22,2023Q4,2023
827284,A,4,65.21506599,2024-04-25 13:18:00,PayPal,"USS Lowe, FPO AE 32118",Clothing,5.461313595,246.6138669,USS Lowe,USS Lowe,AE,32118,Military/Abroad,2024-04-25,April,Thursday,13,2024Q2,2024
685873,A,8,42.09359312,2023-04-30 05:24:00,PayPal,"PSC 5907, Box 8485, APO AE 53182",Clothing,8.799144174,307.1177374,PSC 5907,Box 8485,AE,53182,Military/Abroad,2023-04-30,April,Sunday,5,2023Q2,2023
542961,A,7,68.88103544,2024-03-13 04:08:00,Credit Card,"PSC 9659, Box 2184, APO AA 60330",Electronics,7.17303726,447.5812117,PSC 9659,Box 2184,AA,60330,Military/Abroad,2024-03-13,March,Wednesday,4,2024Q1,2024
911892,B,4,84.5078697,2023-09-09 09:49:00,Debit Card,"PSC 2710, Box 0802, APO AE 08671",Home Decor,7.333975279,313.2403337,PSC 2710,Box 0802,AE,08671,Military/Abroad,2023-09-09,September,Saturday,9,2023Q3,2023
821378,B,5,63.61285234,2023-05-20 00:23:00,PayPal,"Unit 7534 Box 9170, DPO AP 85948",Home Decor,8.697383925,290.4009917,Unit 7534 Box 9170,Unit 7534 Box 9170,AP,85948,Military/Abroad,2023-05-20,May,Saturday,0,2023Q2,2023
13490,B,7,96.95606317,2024-04-17 14:52:00,Debit Card,"USNV Hurley, FPO AP 02516",Home Decor,11.20097456,602.6722744,USNV Hurley,USNV Hurley,AP,02516,Military/Abroad,2024-04-17,April,Wednesday,14,2024Q2,2024
209363,A,8,13.2575368,2023-11-07 00:47:00,Credit Card,"USNV Pacheco, FPO AP 27869",Books,2.235340871,103.6894853,USNV Pacheco,USNV Pacheco,AP,27869,Military/Abroad,2023-11-07,November,Tuesday,0,2023Q4,2023
281149,B,2,91.64551961,2024-01-23 01:56:00,Credit Card,"PSC 4207, Box 6704, APO AE 30097",Electronics,17.92167311,150.4422183,PSC 4207,Box 6704,AE,30097,Military/Abroad,2024-01-23,January,Tuesday,1,2024Q1,2024
280042,B,1,48.45907012,2023-12-02 09:06:00,Credit Card,"Unit 2860 Box 3112, DPO AE 38682",Clothing,18.50710143,39.49070086,Unit 2860 Box 3112,Unit 2860 Box 3112,AE,38682,Military/Abroad,2023-12-02,December,Saturday,9,2023Q4,2023
661403,A,4,38.89138475,2023-07-11 07:49:00,Debit Card,"PSC 9826, Box 8922, APO AA 14701",Home Decor,5.336714423,147.2634504,PSC 9826,Box 8922,AA,14701,Military/Abroad,2023-07-11,July,Tuesday,7,2023Q3,2023
817135,C,6,65.12700101,2023-12-09 16:41:00,Debit Card,"Unit 5106 Box 1126, DPO AA 07222",Home Decor,18.16052551,319.7975723,Unit 5106 Box 1126,Unit 5106 Box 1126,AA,07222,Military/Abroad,2023-12-09,December,Saturday,16,2023Q4,2023
408104,B,1,42.69583494,2023-09-04 15:43:00,Debit Card,"Unit 6567 Box 7874, DPO AE 93839",Home Decor,5.147038558,40.49826386,Unit 6567 Box 7874,Unit 6567 Box 7874,AE,93839,Military/Abroad,2023-09-04,September,Monday,15,2023Q3,2023
157406,D,2,49.27838802,2024-02-11 07:42:00,PayPal,"Unit 9683 Box 2628, DPO AE 39141",Books,6.476367242,92.17387728,Unit 9683 Box 2628,Unit 9683 Box 2628,AE,39141,Military/Abroad,2024-02-11,February,Sunday,7,2024Q1,2024
344295,B,3,47.90391917,2023-06-17 14:57:00,Cash,"USNV Lozano, FPO AP 55280",Electronics,1.1448647,142.0664523,USNV Lozano,USNV Lozano,AP,55280,Military/Abroad,2023-06-17,June,Saturday,14,2023Q2,2023
